Year,Season,Latitude,Longitude,Mean_Temperature_C,Max_Temperature_C,P95_Temperature_C,Max_Wetbulb_C,Mean_Wetbulb_C,Days_Above_35C,Days_Above_Wetbulb_28C,Days_High_Wind,Max_Consecutive_Hot_Days,Max_Consecutive_Wetbulb_Days
2014,Fall,28.38,-70.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-69.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-68.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-67.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-124.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-123.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-122.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-121.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-120.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-119.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-118.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-117.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-116.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-115.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-114.88,23.52,30.91,28.98,10.83,7.68,0,0,0,0,0
2014,Fall,29.38,-113.88,22.74,32.2,28.31,11.36,7.34,0,0,0,0,0
2014,Fall,29.38,-112.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-111.88,25.99,35.71,32.7,12.81,8.72,2,0,0,2,0
2014,Fall,29.38,-110.88,26.5,36.26,33.37,13.06,8.93,1,0,0,1,0
2014,Fall,29.38,-109.88,23.91,33.35,30.5,11.83,7.84,0,0,0,0,0
2014,Fall,29.38,-108.88,21.49,30.38,27.9,10.6,6.81,0,0,0,0,0
2014,Fall,29.38,-107.88,14.38,23.95,22.85,7.87,3.75,0,0,0,0,0
2014,Fall,29.38,-106.88,17.38,28.35,26.16,9.74,5.04,0,0,0,0,0
2014,Fall,29.38,-105.88,21.27,33.78,31.99,12.03,6.71,0,0,0,0,0
2014,Fall,29.38,-104.88,21.64,35.22,32.51,12.63,6.86,1,0,0,1,0
2014,Fall,29.38,-103.88,21.21,35.32,32.2,12.66,6.68,1,0,0,1,0
2014,Fall,29.38,-102.88,21.98,34.09,32.26,12.14,7.01,0,0,0,0,0
2014,Fall,29.38,-101.88,21.45,32.0,31.15,11.27,6.78,0,0,0,0,0
2014,Fall,29.38,-100.88,23.03,33.78,32.69,12.02,7.45,0,0,0,0,0
2014,Fall,29.38,-99.88,22.83,33.76,32.31,12.02,7.37,0,0,0,0,0
2014,Fall,29.38,-98.88,22.9,33.73,32.38,12.02,7.4,0,0,0,0,0
2014,Fall,29.38,-97.88,22.85,33.14,32.04,11.78,7.38,0,0,0,0,0
2014,Fall,29.38,-96.88,23.42,32.75,32.23,11.63,7.63,0,0,0,0,0
2014,Fall,29.38,-95.88,23.61,32.28,31.6,11.41,7.71,0,0,0,0,0
2014,Fall,29.38,-94.88,23.44,32.34,31.06,11.47,7.64,0,0,0,0,0
2014,Fall,29.38,-93.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-92.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-91.88,24.24,30.99,30.22,10.9,7.99,0,0,0,0,0
2014,Fall,29.38,-90.88,22.75,31.15,29.9,10.96,7.35,0,0,0,0,0
2014,Fall,29.38,-89.88,22.97,31.71,29.95,11.21,7.44,0,0,0,0,0
2014,Fall,29.38,-88.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-87.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-86.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-85.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-84.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-83.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-82.88,24.03,32.44,30.37,11.53,7.9,0,0,0,0,0
2014,Fall,29.38,-81.88,24.2,33.26,29.89,11.87,7.97,0,0,0,0,0
2014,Fall,29.38,-80.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-79.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-78.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-77.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-76.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-75.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-74.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-73.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-72.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-71.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-70.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-69.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-68.88,,,,,,0,0,0,0,0
2014,Fall,29.38,-67.88,,,,,,0,0,0,0,0
2014,Fall,30.38,-124.88,,,,,,0,0,0,0,0
2014,Fall,30.38,-123.88,,,,,,0,0,0,0,0
2014,Fall,30.38,-122.88,,,,,,0,0,0,0,0
2014,Fall,30.38,-121.88,,,,,,0,0,0,0,0
2014,Fall,30.38,-120.88,,,,,,0,0,0,0,0
2014,Fall,30.38,-119.88,,,,,,0,0,0,0,0
2014,Fall,30.38,-118.88,,,,,,0,0,0,0,0
2014,Fall,30.38,-117.88,,,,,,0,0,0,0,0
2014,Fall,30.38,-116.88,,,,,,0,0,0,0,0
2014,Fall,30.38,-115.88,21.16,27.61,25.56,9.42,6.67,0,0,0,0,0
2014,Fall,30.38,-114.88,20.18,28.58,25.58,9.8,6.25,0,0,0,0,0
