variable,state,value_2014,delta_2014_2024,delta_2024_2034,delta_2034_2044,delta_2044_2054,total_delta,national_delta,significantly_different,p_value
Rx5day,NE,73.93643952963382,2.3178278817743347,1.7065346720050485,-1.630120394068129,5.911002312493196,8.30524447220445,5.749538235052725,False,0.7564530761127691
Rx5day,NH,88.87518942936244,24.921237922987288,-20.82466472751956,0.9264499529514154,6.408341476814996,11.431364625234139,5.749538235052725,False,0.8859800558560478
Rx5day,NJ,109.19896577664922,1.708079207175686,1.5341896570058964,5.2747966431226985,-9.647573510587975,-1.130508003283694,5.749538235052725,False,0.636828559517352
Rx5day,NM,49.86832730429655,3.5940627850510083,4.459859433918616,-3.4825918078269353,-1.9944720361290464,2.576858375013643,5.749538235052725,False,0.7450382053201153
Rx5day,NV,37.22607172613788,1.3268164691654363,2.301815767537846,-1.4122527682105073,0.008396431562594842,2.22477590005537,5.749538235052725,False,0.5687702291631431
Rx5day,NY,85.91122786229911,3.3042004539957333,-3.6724765387408524,2.428188354023561,0.7341219957146592,2.794034264993101,5.749538235052725,False,0.7209473092184474
Rx5day,OH,81.0926171373734,4.884675600376994,-0.5613777768002848,9.149446298464255,-2.0574652387479517,11.415278883293013,5.749538235052725,False,0.6367218605266792
Rx5day,OK,112.21937391487475,2.6621724780144547,6.864589511706441,7.125686859556325,-13.336294141571088,3.316154707706133,5.749538235052725,False,0.9068131660925496
Rx5day,OR,95.0919938671371,-1.286549216363838,-2.6234639114684626,9.47109592306471,-1.6109644533853924,3.9501183418470163,5.749538235052725,False,0.8891096611416774
Rx5day,PA,93.14788863897753,2.263223094700365,-1.5142549196823154,7.076981226980067,-8.471133350023436,-0.6451839480253199,5.749538235052725,False,0.6638987314882037
Rx5day,RI,110.6180604480819,19.82321976344801,-18.084501766089886,7.645077088650794,-12.19920638758596,-2.8154113015770434,5.749538235052725,False,0.8171877880073117
Rx5day,SC,119.79454840783491,19.51719460871793,-21.919680420983624,17.470326149974355,-11.74410356903823,3.323736768670429,5.749538235052725,False,0.9557607743148735
Rx5day,SD,67.07586113742268,5.554640282293789,-4.601400316237957,3.2944883817916377,0.4656906236336482,4.7134189714811185,5.749538235052725,False,0.9210521911994667
Rx5day,TN,118.00590933413179,7.341608357635067,2.0078932240488143,15.45827463547596,-0.9629363863743947,23.844839830785446,5.749538235052725,False,0.27910295042250155
Rx5day,TX,98.83621244890708,3.8288178326732236,15.134356847416313,-0.0034999221118141577,-16.734209764675214,2.2254649933025092,5.749538235052725,False,0.8998351769893831
